event,mean_mean_nnd,mean_sd_nnd,sd_mean_nnd,mean_pol,sd_pol,cv_speed,mean_sd_front,mean_mean_bangl,mean_shape,sd_shape,species
37,23.66871475,25.82674377,14.90101755,0.724122273,0.175105202,0.357928119,0.345626415,1.470881728,0.616211061,0.362983752,baboons
38,19.31101929,16.08710761,5.975763073,0.586525322,0.20231405,0.43998866,0.367988289,1.738882547,1.049637491,0.399804474,baboons
40,14.24673546,7.997538626,1.012799248,0.570323674,0.240544556,0.33065645,0.324122568,1.376422895,0.664095947,0.36445547,baboons
41,12.46085784,11.29387803,7.48752368,0.653673485,0.161273054,0.348958075,0.345818622,1.531252619,1.230081068,0.282398518,baboons
43,15.26198989,14.85399508,5.846846272,0.639116329,0.173899248,0.394395639,0.365756288,1.524944506,1.105381247,0.286006349,baboons
47,20.41827969,19.02784093,11.38110308,0.671564948,0.149426705,0.344625882,0.343521177,1.635976983,0.95569621,0.427385756,baboons
51,16.59159474,13.43956737,1.500211807,0.520232867,0.140327999,0.189312555,0.306088829,1.431960837,1.358161541,0.162761701,baboons
53,12.37536528,9.049252264,0.207479352,0.555904531,0.145348286,0.207895124,0.322262423,1.670770076,1.237777611,0.25141784,baboons
54,12.02521766,8.001722986,0.693654747,0.544335817,0.155864957,0.197719267,0.291390361,1.546051363,0.890547784,0.316302869,baboons
55,14.24929678,7.207020957,1.492043531,0.55652478,0.158516259,0.357661701,0.273932376,1.641451937,0.654218977,0.314078058,baboons
56,12.93795077,8.972332813,1.356988683,0.478221591,0.162406565,0.293483447,0.287923448,1.486139566,0.644593785,0.362772529,baboons
57,10.26175983,8.906514157,0.538230612,0.3805589,0.130881299,0.282555723,0.267883784,1.267155346,0.464135969,0.397674201,baboons
58,14.23480401,8.830305264,1.630465113,0.561527561,0.137675268,0.196904963,0.311983986,1.590383164,0.711468268,0.311211303,baboons
59,13.92126498,15.0052394,6.846173872,0.724383769,0.170760197,0.325381422,0.345586858,1.592503994,1.284220164,0.263086838,baboons
63,13.19183699,27.62992373,1.402339731,0.593899389,0.147083614,0.378812563,0.321407137,1.46869725,0.814650471,0.399681887,baboons
65,21.5243558,13.27765502,1.30990932,0.634506081,0.125141792,0.17293679,0.316354709,1.523653633,1.178500247,0.256067458,baboons
66,13.21967398,17.25046987,2.170456739,0.620418485,0.156609709,0.320690983,0.299070091,1.585409483,0.283613652,0.194717377,baboons
67,7.996610648,5.868866229,3.150128124,0.740535689,0.162195041,0.358653266,0.351248654,1.553258543,1.385886062,0.169053201,baboons
68,13.93499345,17.37692165,7.471547115,0.598051391,0.17078434,0.293936416,0.370087619,1.617007149,0.934231892,0.307897759,baboons
69,12.9822183,17.54034128,8.306489865,0.623589859,0.154551087,0.287391742,0.35950577,1.644374565,0.583671976,0.389534606,baboons
70,14.72779419,17.46596279,3.216944284,0.517473623,0.172422786,0.363921765,0.296191938,1.64347844,0.996584404,0.370929792,baboons
72,23.26910818,26.56641138,1.443666719,0.45699743,0.125298616,0.267774263,0.322594419,1.497496976,1.070094958,0.319834484,baboons
73,9.864834158,8.900548072,3.269797922,0.757849997,0.150752222,0.367516365,0.338702226,1.625203213,1.255118428,0.321341438,baboons
81,12.6248058,21.81656175,4.796594478,0.517901148,0.130335569,0.172121308,0.325370684,1.507737581,1.159425732,0.300367339,baboons
82,17.6664763,23.99916069,6.871243629,0.587120763,0.154161916,0.256305396,0.38110132,1.475724536,0.789726598,0.315305418,baboons
83,14.2884278,17.92942351,5.660775675,0.636670595,0.14260702,0.244172731,0.371674303,1.675249498,1.280279363,0.22170027,baboons
84,12.29736626,16.29638834,1.062992142,0.54311188,0.144992572,0.192863422,0.357096377,1.500208173,0.448324666,0.312006589,baboons
85,22.39682325,25.87592344,3.077029716,0.623616847,0.161631313,0.337914953,0.293211801,1.592097092,1.189418027,0.274700598,baboons
86,13.2064183,10.76012676,3.402816876,0.599232783,0.159504655,0.420508567,0.283071479,1.59960056,0.675182644,0.420245759,baboons
87,8.77394752,8.008360525,2.827304373,0.742096512,0.166604704,0.39222456,0.340766255,1.570829361,1.247174935,0.323786166,baboons
88,12.66539435,7.370820267,2.846048766,0.557653844,0.16045528,0.223850745,0.302348905,1.534955749,0.885513178,0.466108281,baboons
89,16.66426228,13.13153454,1.584430918,0.55450617,0.136273919,0.233914813,0.287676414,1.543866213,0.445528319,0.34829185,baboons
90,10.82140166,6.595501487,1.864980647,0.600032616,0.184717015,0.180694164,0.324088904,1.699753995,0.216223117,0.214839193,baboons
91,17.73541656,11.70673798,2.542230348,0.544268938,0.152237863,0.569680786,0.307529931,1.491786183,1.042614027,0.351742104,baboons
92,15.0736338,12.4467405,0.621380208,0.389580549,0.16087779,0.297509355,0.319601907,1.552003781,0.425444221,0.367589901,baboons
94,20.07865751,18.05851115,7.139177996,0.543113705,0.162234637,0.298305935,0.27712404,1.70020958,0.933803785,0.343347512,baboons
96,18.51909035,10.96622193,0.290778449,0.582777186,0.114080097,0.150694177,0.267326158,1.810921333,1.249210229,0.189156248,baboons
97,10.81324124,11.75501273,3.058289529,0.563132633,0.210581846,0.346786486,0.307593347,1.468022303,1.058160543,0.333407527,baboons
99,8.620534016,7.110889914,2.140585094,0.781188064,0.154164053,0.261424605,0.375596438,1.598604827,1.307102234,0.306062662,baboons
100,11.72805541,8.016518665,1.414281027,0.530641365,0.124019945,0.241886827,0.302845362,1.659766913,0.478362951,0.287680073,baboons
101,13.63015991,8.848176764,0.754587891,0.640881748,0.13517397,0.236197966,0.277550839,1.71274623,0.311074412,0.219994224,baboons
102,19.31880922,12.69774374,4.043308288,0.609316304,0.156747805,0.388738588,0.321210976,1.600138993,1.265862235,0.229461773,baboons
103,15.37275871,20.72269359,6.315754956,0.644055033,0.17553711,0.346408731,0.308799237,1.548171258,1.026084768,0.438900515,baboons
104,9.311521875,5.973591472,1.430177338,0.573287606,0.213336315,0.484807592,0.339097706,1.5758147,1.176802103,0.321267367,baboons
105,10.82822147,5.693289673,0.974086021,0.563077238,0.13933273,0.257409227,0.321041834,1.484980724,1.239138417,0.264894401,baboons
106,13.974307,9.501669514,0.158849062,0.635940048,0.152069292,0.151752364,0.280008726,1.411884416,1.266738856,0.1778554,baboons
107,13.48637565,7.340922644,4.077464075,0.528519664,0.145235561,0.32440705,0.273111422,1.550450779,0.854021485,0.367014843,baboons
108,17.17278413,14.26191069,5.28017676,0.653296605,0.133126552,0.224943044,0.33492093,1.575554276,0.980028258,0.279439889,baboons
109,15.71181622,15.41722915,0.565049921,0.59030212,0.133821195,0.216704531,0.258689942,1.741912705,1.023961518,0.333005431,baboons
110,23.76787813,30.27820858,1.619789993,0.607429393,0.114355492,0.172940721,0.298358637,1.720207549,0.761873292,0.267257984,baboons
111,10.31822504,5.843129678,2.484956352,0.702466915,0.158314528,0.255128084,0.307651068,1.600577717,1.263689415,0.212244221,baboons
112,8.338471203,4.346337291,2.321204017,0.673569365,0.143302099,0.199607845,0.296492938,1.597098181,1.181767091,0.264178665,baboons
113,9.322360014,4.831889957,1.38736421,0.689662092,0.188727178,0.501612444,0.301178047,1.61010768,1.161674831,0.309665343,baboons
114,13.87435401,11.70604301,4.537409201,0.794090168,0.161330751,0.333537146,0.370493309,1.575152302,1.418622039,0.146233016,baboons
119,12.87404091,13.81241006,2.587365281,0.553320764,0.147050845,0.313777521,0.279351848,1.59223818,0.291666479,0.226091294,baboons
120,11.84449571,9.345865273,4.738035222,0.725939506,0.154788749,0.31019696,0.340199359,1.556632117,1.3149138,0.249365791,baboons
121,26.93772096,37.04719553,0.922371677,0.524732454,0.146905105,0.190821911,0.31286198,1.660241281,1.217655194,0.310140381,baboons
122,16.45310337,18.27858377,8.187956409,0.589175311,0.157521234,0.34693449,0.292912788,1.612436227,1.111288305,0.336391288,baboons
125,15.39412892,22.28273569,1.698779544,0.580936837,0.142550916,0.361986843,0.301429013,1.661065128,1.247656092,0.261319759,baboons
126,24.26941558,37.69684718,5.803609136,0.387633312,0.166416011,0.340479685,0.294104829,1.480411843,0.994716203,0.367040932,baboons
127,19.832745,26.56022369,4.80469762,0.519486091,0.187819611,0.29950222,0.306259489,1.521121792,1.221431279,0.314102981,baboons
128,19.52843886,23.59540317,2.797032149,0.541607008,0.159100477,0.342744359,0.276150243,1.479578429,1.237991463,0.273782577,baboons
129,15.10862486,20.07763023,3.215283826,0.548359693,0.159715689,0.426460906,0.320911124,1.643189056,0.783368839,0.461353767,baboons
130,10.25431359,11.67171457,4.583434027,0.638410176,0.17492478,0.292035393,0.332899759,1.536780657,1.048850147,0.386567809,baboons
131,12.38043065,13.4767912,4.063886837,0.662375547,0.163389571,0.190004399,0.360675539,1.572373924,0.547225595,0.309011448,baboons
132,11.0808508,8.258792157,1.19709092,0.692331811,0.156743851,0.266113999,0.300786386,1.585120586,0.382711988,0.416118566,baboons
133,28.51137083,35.86249436,0.774189419,0.612009587,0.150611276,0.212090943,0.300652703,1.629087084,0.94332268,0.26346842,baboons
134,15.54110442,28.6977822,0.581949598,0.290871413,0.114309995,0.388946599,0.266165901,1.774569657,0.722392639,0.437501372,baboons
135,16.60040248,20.94242651,5.918361011,0.65302901,0.1623401,0.37367621,0.346152804,1.528046989,0.795834123,0.395267822,baboons
137,12.39533842,16.2066138,1.01419504,0.508948527,0.14306578,0.222490279,0.309450759,1.61574404,0.796820644,0.48321715,baboons
138,11.68456503,20.06620028,0.641199767,0.443418076,0.167112114,0.249873222,0.310172817,1.527156076,0.672636204,0.318046054,baboons
139,9.237993644,6.209251081,3.298815462,0.666719145,0.185320733,0.318504836,0.334565162,1.628768445,0.594305347,0.324774277,baboons
140,7.715788208,8.515940448,3.064295536,0.750566418,0.180789781,0.226993195,0.372860624,1.507211208,0.993825359,0.213872307,baboons
